2026-03-12 05:33:05 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||985 | try=1 | status=200 | 229ms | SUCCESS
2026-03-12 05:33:07 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||987 | try=1 | status=200 | 167ms | SUCCESS
2026-03-12 05:33:09 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||987 | try=1 | status=200 | 237ms | SUCCESS
2026-03-12 05:33:11 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||988 | try=1 | status=200 | 140ms | SUCCESS
2026-03-12 05:33:13 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||989 | try=1 | status=200 | 162ms | SUCCESS
2026-03-12 05:33:15 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||991 | try=1 | status=200 | 200ms | SUCCESS
2026-03-12 05:33:17 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||992 | try=1 | status=200 | 189ms | SUCCESS
2026-03-12 05:33:19 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||993 | try=1 | status=200 | 178ms | SUCCESS
2026-03-12 05:33:21 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||994 | try=1 | status=200 | 163ms | SUCCESS
2026-03-12 05:33:23 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||995 | try=1 | status=200 | 263ms | SUCCESS
2026-03-12 05:33:25 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||996 | try=1 | status=200 | 151ms | SUCCESS
2026-03-12 05:33:28 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||998 | try=1 | status=200 | 200ms | SUCCESS
2026-03-12 05:33:31 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||999 | try=1 | status=200 | 149ms | SUCCESS
2026-03-12 05:33:33 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||100 | try=1 | status=200 | 143ms | SUCCESS
2026-03-12 05:33:35 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||100 | try=1 | status=200 | 203ms | SUCCESS
2026-03-12 05:33:37 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||100 | try=1 | status=200 | 216ms | SUCCESS
2026-03-12 05:33:39 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||100 | try=1 | status=200 | 141ms | SUCCESS
2026-03-12 05:33:42 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||100 | try=1 | status=200 | 166ms | SUCCESS
2026-03-12 05:33:45 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||100 | try=1 | status=200 | 213ms | SUCCESS
